OrderUuid,Exchange,Type,Quantity,QuantityRemaining,Limit,CommissionPaid,Price,PricePerUnit,Opened,Closed,IsOpen,Order Duration
0f507eb2-0f88-46e4-afe3-a9dec265b034,USD-BTC,LIMIT_BUY,0.00061678,0.00061678,8107.392,0.0,0.0,,2019-11-21 06-AM-02,2000-01-01 12-AM-00,True,31.019209000000004
a1b7abbb-ad89-4036-9299-7ca2e64d1610,USD-BTC,LIMIT_BUY,0.00061678,0.00061678,8107.392,0.0,0.0,,2019-11-21 06-AM-02,2000-01-01 12-AM-00,True,31.140990999999996
cdb7a129-7828-4ff7-97e8-982da303a4a6,USD-BTC,LIMIT_BUY,0.00061678,0.00061678,8107.392,0.0,0.0,,2019-11-21 06-AM-03,2000-01-01 12-AM-00,True,31.294032
6b894724-6ab1-4b4d-b42d-3643c4feaf5d,USD-BTC,LIMIT_BUY,0.0006167000000000001,0.0006167000000000001,8108.422,0.0,0.0,,2019-11-21 06-AM-04,2000-01-01 12-AM-00,True,30.570527000000002
aea2b635-ee60-4ca5-81e9-05dd75f2b44d,USD-BTC,LIMIT_BUY,0.0006167000000000001,0.0006167000000000001,8108.422,0.0,0.0,,2019-11-21 06-AM-04,2000-01-01 12-AM-00,True,31.156021000000003
76503684-9e49-4b80-b4c5-0de624b1bb22,USD-BTC,LIMIT_SELL,0.0006167000000000001,0.0,8106.8009999999995,0.0124999,4.9999637,8107.610994,2019-11-21 06-AM-05,2019-11-21 06-AM-05,False,3.137395
97bf99f2-6453-4216-a4c9-e08bfc9c45a1,USD-BTC,LIMIT_BUY,0.0006167000000000001,0.0,8108.422,0.01249991,4.99996432,8107.61199935,2019-11-21 06-AM-05,2019-11-21 06-AM-05,False,2.963419
41f357c0-7503-4133-9a2d-073f0c462073,USD-BTC,LIMIT_SELL,0.0006167000000000001,0.0,8106.8009999999995,0.0124999,4.9999637,8107.610994,2019-11-21 06-AM-05,2019-11-21 06-AM-05,False,2.984156
0bd9619d-7645-4d7b-a7e3-564ee82e4fd2,USD-BTC,LIMIT_BUY,0.0006167000000000001,0.0,8108.422,0.01249991,4.99996432,8107.61199935,2019-11-21 06-AM-05,2019-11-21 06-AM-05,False,2.846564
06795026-ada0-4740-a1d1-e046865702ad,USD-BTC,LIMIT_SELL,0.0006167000000000001,0.0,8106.8009999999995,0.0124999,4.9999637,8107.610994,2019-11-21 06-AM-05,2019-11-21 06-AM-05,False,2.941643
4a978130-5afe-4acb-ba7f-fbce7dd001c4,USD-BTC,LIMIT_BUY,0.0006167000000000001,0.0,8108.422,0.01249991,4.99996432,8107.61199935,2019-11-21 06-AM-05,2019-11-21 06-AM-05,False,3.2958339999999997
b6766bca-55a8-4af5-83f4-ec7efdd669b2,USD-BTC,LIMIT_BUY,0.0006167000000000001,0.0,8108.422,0.01249991,4.99996432,8107.61199935,2019-11-21 06-AM-05,2019-11-21 06-AM-05,False,2.7388169999999996
57ea6401-30f2-4c52-afe1-27d6bb3ca2d4,USD-BTC,LIMIT_SELL,0.0006167000000000001,0.0,8106.8009999999995,0.0124999,4.9999637,8107.610994,2019-11-21 06-AM-05,2019-11-21 06-AM-05,False,3.020747
